"------------------------------------------------------------------","","","",""
"Next steps: what is the experience of students from a care background in education?","","","",""
"Supporting data table","","","",""
"------------------------------------------------------------------","","","",""
"Group variables: Row option, Response","","","",""
"Statistics: Proportion of respondents","","","",""
"Audience: 2022 applicants who shared that they were care-experienced in their UCAS application and were below the age of 25    Domicile: UK","","","",""
"Coverage: All survey respondents who agreed that the care experienced description applied to them","","","",""
"Survey responses are weighted to represent the entire sample population.","","","",""
"Percentages are rounded to the nearest whole number.","","","",""
"------------------------------------------------------------------","","","",""
"Question asked:","","","",""
"How important are or were the following factors to you when choosing your first year accommodation? ","","","",""
"------------------------------------------------------------------","","","",""
"------------------------------------------------------------------","","","",""
"Row option","Response","Class","Class Level","Proportion of respondents"
" Guarantor requirement was waived","Neutral","In care when they were between the ages of 11 and 16","No","26%"
" Guarantor requirement was waived","Not important","In care when they were between the ages of 11 and 16","No","50%"
" Guarantor requirement was waived","Important","In care when they were between the ages of 11 and 16","Yes","28%"
" Guarantor requirement was waived","Neutral","In care when they were between the ages of 11 and 16","Yes","22%"
" Guarantor requirement was waived","Not important","In care when they were between the ages of 11 and 16","Yes","50%"
" Deposit was waived, or covered by the university or a bursary/scholarship","Important","In care when they were between the ages of 11 and 16","No","28%"
" Deposit was waived, or covered by the university or a bursary/scholarship","Neutral","In care when they were between the ages of 11 and 16","No","19%"
" Deposit was waived, or covered by the university or a bursary/scholarship","Not important","In care when they were between the ages of 11 and 16","No","53%"
" Deposit was waived, or covered by the university or a bursary/scholarship","Important","In care when they were between the ages of 11 and 16","Yes","27%"
" Deposit was waived, or covered by the university or a bursary/scholarship","Neutral","In care when they were between the ages of 11 and 16","Yes","27%"
" Deposit was waived, or covered by the university or a bursary/scholarship","Not important","In care when they were between the ages of 11 and 16","Yes","46%"
" Overall cost","Important","In care when they were between the ages of 11 and 16","No","75%"
" Overall cost","Neutral","In care when they were between the ages of 11 and 16","No","14%"
" Overall cost","Not important","In care when they were between the ages of 11 and 16","No","11%"
" Overall cost","Important","In care when they were between the ages of 11 and 16","Yes","77%"
" Overall cost","Neutral","In care when they were between the ages of 11 and 16","Yes","16%"
" Overall cost","Not important","In care when they were between the ages of 11 and 16","Yes","7%"
" Value for money","Important","In care when they were between the ages of 11 and 16","No","77%"
" Value for money","Neutral","In care when they were between the ages of 11 and 16","No","11%"
" Value for money","Not important","In care when they were between the ages of 11 and 16","No","12%"
" Value for money","Important","In care when they were between the ages of 11 and 16","Yes","77%"
" Value for money","Neutral","In care when they were between the ages of 11 and 16","Yes","15%"
" Value for money","Not important","In care when they were between the ages of 11 and 16","Yes","8%"
" Number of bedrooms (i.e. living with preferred number of other people or alone)","Important","In care when they were between the ages of 11 and 16","No","44%"
" Number of bedrooms (i.e. living with preferred number of other people or alone)","Neutral","In care when they were between the ages of 11 and 16","No","25%"
" Number of bedrooms (i.e. living with preferred number of other people or alone)","Not important","In care when they were between the ages of 11 and 16","No","31%"
" Number of bedrooms (i.e. living with preferred number of other people or alone)","Important","In care when they were between the ages of 11 and 16","Yes","39%"
" Number of bedrooms (i.e. living with preferred number of other people or alone)","Neutral","In care when they were between the ages of 11 and 16","Yes","26%"
" Number of bedrooms (i.e. living with preferred number of other people or alone)","Not important","In care when they were between the ages of 11 and 16","Yes","34%"
" Quality of accommodation (e.g. condition of the overall property, hallways, common areas)","Important","In care when they were between the ages of 11 and 16","No","73%"
" Quality of accommodation (e.g. condition of the overall property, hallways, common areas)","Neutral","In care when they were between the ages of 11 and 16","No","18%"
" Quality of accommodation (e.g. condition of the overall property, hallways, common areas)","Not important","In care when they were between the ages of 11 and 16","No","9%"
" Quality of accommodation (e.g. condition of the overall property, hallways, common areas)","Important","In care when they were between the ages of 11 and 16","Yes","73%"
" Quality of accommodation (e.g. condition of the overall property, hallways, common areas)","Neutral","In care when they were between the ages of 11 and 16","Yes","20%"
