"----------------------------------------------------"
"Next Steps: what is the experience of students from a care background in education?"
"Supporting data table"
"----------------------------------------------------"
"Group variables: Year, Care category, Subject group (CAH2)"
"Statistics: Main scheme applications, Accepted applicants, Proportion of main scheme applications, Proportion of accepted applicants"
"Coverage: UK applicants who applied by 28 days after JCQ results day"
"Counts are rounded to the nearest 10, percentages are rounded to 1 decimal place. Percentages where either contributing group is less than 20 are suppressed."
"----------------------------------------------------"
"----------------------------------------------------"
Year,Care category,Subject group (CAH2),Main scheme applications,Accepted applicants,Proportion of main scheme applications,Proportion of accepted applicants
2022,"Care experienced","(CAH07-04) general, applied and forensic sciences","220","60","0.6%","0.9%"
2022,"Care experienced","(CAH09-01) mathematical sciences","360","70","1.0%","1.1%"
2022,"Care experienced","(CAH10-01) engineering","1,350","240","3.7%","3.7%"
2022,"Care experienced","(CAH10-03) materials and technology","60","10","0.2%",""
2022,"Care experienced","(CAH11-01) computing","1,790","360","4.9%","5.6%"
2022,"Care experienced","(CAH13-01) architecture, building and planning","460","80","1.3%","1.3%"
2022,"Care experienced","(CAH15-01) sociology, social policy and anthropology","2,120","390","5.8%","6.1%"
2022,"Care experienced","(CAH15-02) economics","440","80","1.2%","1.3%"
2022,"Care experienced","(CAH15-03) politics","540","100","1.5%","1.5%"
2022,"Care experienced","(CAH15-04) health and social care","2,040","380","5.6%","5.9%"
2022,"Care experienced","(CAH16-01) law","2,210","420","6.0%","6.5%"
2022,"Care experienced","(CAH17-01) business and management","2,910","540","8.0%","8.4%"
2022,"Care experienced","(CAH19-01) English studies","740","140","2.0%","2.2%"
2022,"Care experienced","(CAH19-02) Celtic studies","10","0","",""
2022,"Care experienced","(CAH19-04) languages and area studies","340","60","0.9%","0.9%"
2022,"Care experienced","(CAH20-01) history and archaeology","600","110","1.6%","1.8%"
2022,"Care experienced","(CAH20-02) philosophy and religious studies","310","60","0.9%","0.9%"
2022,"Care experienced","(CAH22-01) education and teaching","1,020","200","2.8%","3.2%"
2022,"Care experienced","(CAH23-01) combined and general studies","180","40","0.5%","0.7%"
2022,"Care experienced","(CAH24-01) media, journalism and communications","720","130","2.0%","2.0%"
2022,"Care experienced","(CAH25-01) creative arts and design","2,210","450","6.1%","7.0%"
2022,"Care experienced","(CAH25-02) performing arts","1,520","270","4.2%","4.3%"
2022,"Care experienced","(CAH26-01) geography, earth and environmental studies","390","80","1.1%","1.3%"
